13520, 3, online, outlier
22.030001 , 3.57145 , 0.03682 , 0
20.790001 , 3.42739 , 0.02949 , 0
20.219999 , 3.40643 , 0.02767 , 0
19.850000 , 3.40185 , 0.02614 , 0
192.300003 , 3.51377 , 0.25622 , 0
183.199997 , 3.51338 , 0.24336 , 0
174.000000 , 3.51811 , 0.23117 , 0
164.399994 , 3.53298 , 0.22018 , 0
154.899994 , 3.56100 , 0.21053 , 0
145.600006 , 3.59372 , 0.20101 , 0
136.399994 , 3.62581 , 0.19098 , 0
127.300003 , 3.64760 , 0.17947 , 0
118.099998 , 3.65493 , 0.16633 , 0
108.699997 , 3.67254 , 0.15395 , 0
99.370003 , 3.70290 , 0.14227 , 0
94.900002 , 3.71523 , 0.13606 , 0
90.459999 , 3.72692 , 0.12971 , 0
86.080002 , 3.74153 , 0.12347 , 0
81.459999 , 3.76712 , 0.11780 , 0
76.110001 , 3.80171 , 0.11248 , 0
70.080002 , 3.82417 , 0.10622 , 0
64.419998 , 3.82439 , 0.09865 , 0
59.040001 , 3.81051 , 0.09040 , 0
54.139999 , 3.80382 , 0.08257 , 0
50.160000 , 3.80933 , 0.07529 , 0
48.560001 , 3.81079 , 0.07233 , 0
46.750000 , 3.81284 , 0.06939 , 0
44.660000 , 3.81311 , 0.06638 , 0
42.480000 , 3.81279 , 0.06335 , 0
40.380001 , 3.81042 , 0.06026 , 0
38.430000 , 3.80280 , 0.05702 , 0
36.330002 , 3.78691 , 0.05357 , 0
34.049999 , 3.76875 , 0.05011 , 0
31.870001 , 3.74514 , 0.04657 , 0
29.700001 , 3.70254 , 0.04267 , 0
28.459999 , 3.66846 , 0.04050 , 0
27.510000 , 3.63441 , 0.03838 , 0
26.900000 , 3.61156 , 0.03654 , 0
26.230000 , 3.58221 , 0.03462 , 0
25.330000 , 3.54717 , 0.03264 , 0
24.620001 , 3.52118 , 0.03088 , 0
24.030001 , 3.49834 , 0.02921 , 0
23.610001 , 3.47848 , 0.02762 , 0
22.350000 , 3.42701 , 0.02559 , 0
21.420000 , 3.37086 , 0.02476 , 0
21.080000 , 3.32780 , 0.02298 , 0
21.639999 , 3.39655 , 0.02394 , 0
19.690001 , 3.30283 , 0.02037 , 0
21.500000 , 3.40598 , 0.02167 , 0
18.959999 , 3.29545 , 0.01916 , 0
18.150000 , 3.29267 , 0.01800 , 0
183.300003 , 3.55788 , 0.25678 , 0
174.100006 , 3.58840 , 0.24746 , 0
165.000000 , 3.61493 , 0.23718 , 0
155.800003 , 3.64427 , 0.22687 , 0
146.699997 , 3.67253 , 0.21600 , 0
137.300003 , 3.69591 , 0.20417 , 0
127.599998 , 3.71534 , 0.19159 , 0
117.599998 , 3.74495 , 0.17968 , 0
108.699997 , 3.77539 , 0.16740 , 0
100.300003 , 3.79539 , 0.15379 , 0
95.550003 , 3.80049 , 0.14650 , 0
90.459999 , 3.81312 , 0.13971 , 0
84.940002 , 3.84170 , 0.13393 , 0
79.639999 , 3.87460 , 0.12822 , 0
74.940002 , 3.90079 , 0.12184 , 0
70.480003 , 3.91412 , 0.11450 , 0
65.820000 , 3.93333 , 0.10736 , 0
60.490002 , 3.94547 , 0.09972 , 0
54.889999 , 3.94699 , 0.09148 , 0
49.919998 , 3.93906 , 0.08283 , 0
48.020000 , 3.93687 , 0.07943 , 0
45.990002 , 3.93753 , 0.07614 , 0
43.990002 , 3.93711 , 0.07282 , 0
42.009998 , 3.93373 , 0.06939 , 0
40.049999 , 3.92410 , 0.06576 , 0
38.189999 , 3.91286 , 0.06212 , 0
36.439999 , 3.90097 , 0.05849 , 0
34.619999 , 3.89233 , 0.05500 , 0
32.599998 , 3.88253 , 0.05150 , 0
30.420000 , 3.86944 , 0.04796 , 0
29.480000 , 3.86098 , 0.04616 , 0
28.610001 , 3.84712 , 0.04424 , 0
27.670000 , 3.82126 , 0.04209 , 0
24.740000 , 3.72596 , 0.04002 , 0
24.889999 , 3.67051 , 0.03740 , 0
24.480000 , 3.66571 , 0.03587 , 0
24.070000 , 3.65586 , 0.03425 , 0
23.480000 , 3.63809 , 0.03250 , 0
22.559999 , 3.60867 , 0.03059 , 0
192.199997 , 3.52246 , 0.26504 , 0
183.399994 , 3.51596 , 0.25086 , 0
174.100006 , 3.51979 , 0.23817 , 0
164.800003 , 3.52839 , 0.22604 , 0
155.399994 , 3.55042 , 0.21541 , 0
