12894 , 4, online, outline
27.31, 3.51810, 0.06940, 16.6105, 0
27.68, 3.53010, 0.06890, 16.7597, 0
27.86, 3.54220, 0.06940, 16.8006, 0
28.25, 3.55420, 0.07090, 16.7901, 0
28.44, 3.56630, 0.07260, 16.7413, 0
28.84, 3.57830, 0.07590, 16.6087, 0
29.26, 3.59040, 0.08010, 16.4180, 0
29.68, 3.60240, 0.08510, 16.1779, 0
30.12, 3.61450, 0.09080, 15.9029, 0
30.34, 3.62650, 0.09430, 15.7520, 0
30.8, 3.63860, 0.10060, 15.4557, 0
31.27, 3.65060, 0.10720, 15.1594, 0
31.51, 3.66270, 0.11090, 15.0147, 0
32, 3.67470, 0.11730, 14.7562, 0
32.51, 3.68670, 0.12340, 14.5374, 0
32.77, 3.69880, 0.12660, 14.4470, 0
33.3, 3.71080, 0.13140, 14.3320, 0
34.13, 3.72290, 0.13500, 14.3607, 0
34.71, 3.73490, 0.13470, 14.5650, 0
35.31, 3.74700, 0.13140, 14.9384, 0
35.93, 3.75900, 0.12560, 15.4355, 0
36.25, 3.77110, 0.12270, 15.6999, 0
36.9, 3.78310, 0.11710, 16.1564, 0
37.58, 3.79520, 0.11340, 16.4975, 0
38.28, 3.80720, 0.11110, 16.7515, 0
39.01, 3.81930, 0.10970, 16.9494, 0
39.77, 3.83130, 0.10910, 17.1079, 0
40.96, 3.84340, 0.10900, 17.2828, 0
41.8, 3.85540, 0.11000, 17.3651, 0
42.67, 3.86750, 0.11150, 17.4246, 0
44.04, 3.87950, 0.11420, 17.4850, 0
45.01, 3.89160, 0.11650, 17.5219, 0
46.54, 3.90360, 0.11920, 17.5922, 0
47.63, 3.91570, 0.12050, 17.6682, 0
49.35, 3.92770, 0.12020, 17.8453, 0
50.57, 3.93980, 0.11830, 18.0181, 0
51.85, 3.95180, 0.11490, 18.2211, 0
53.19, 3.96390, 0.11080, 18.4312, 0
54.61, 3.97590, 0.10660, 18.6231, 0
56.11, 3.98800, 0.10320, 18.7819, 0
57.69, 4.00000, 0.10050, 18.9137, 0
60.24, 4.01200, 0.09610, 19.0902, 0
63.01, 4.02410, 0.09160, 19.2488, 0
66.07, 4.03610, 0.08680, 19.3893, 0
69.42, 4.04820, 0.08200, 19.5084, 0
74.47, 4.06020, 0.07560, 19.6395, 0
78.77, 4.07230, 0.06980, 19.7270, 0
87.15, 4.08430, 0.06080, 19.8317, 0
89.04, 4.09640, 0.06170, 19.8361, 0
26.43, 3.53010, 0.05010, 16.5720, 0
26.77, 3.54220, 0.05340, 16.3141, 0
27.13, 3.55420, 0.05580, 16.1735, 0
27.31, 3.56630, 0.05760, 16.0618, 0
27.49, 3.57830, 0.06010, 15.8726, 0
27.86, 3.59040, 0.06370, 15.6199, 0
28.06, 3.60240, 0.06580, 15.4970, 0
28.44, 3.61450, 0.06930, 15.2850, 0
28.84, 3.62650, 0.07300, 15.0615, 0
29.26, 3.63860, 0.07640, 14.8757, 0
29.68, 3.65060, 0.07920, 14.7623, 0
30.12, 3.66270, 0.08130, 14.7278, 0
30.8, 3.67470, 0.08320, 14.7718, 0
31.27, 3.68670, 0.08370, 14.8919, 0
32, 3.69880, 0.08220, 15.2300, 0
32.77, 3.71080, 0.08070, 15.5692, 0
33.3, 3.72290, 0.08340, 15.4972, 0
34.71, 3.74700, 0.08870, 15.4489, 0
35.31, 3.75900, 0.08970, 15.5307, 0
35.93, 3.77110, 0.09050, 15.6346, 0
36.57, 3.78310, 0.09120, 15.7435, 0
37.24, 3.79520, 0.09180, 15.8593, 0
37.58, 3.80720, 0.09220, 15.9295, 0
38.28, 3.81930, 0.09260, 16.0601, 0
39.01, 3.83130, 0.09280, 16.1986, 0
39.77, 3.84340, 0.09280, 16.3489, 0
40.16, 3.85540, 0.09290, 16.4393, 0
40.96, 3.86750, 0.09250, 16.6081, 0
41.8, 3.87950, 0.09230, 16.7675, 0
42.67, 3.89160, 0.09250, 16.8966, 0
43.57, 3.90360, 0.09370, 16.9719, 0
44.04, 3.91570, 0.09510, 16.9783, 0
45.51, 3.92770, 0.10080, 16.8803, 0
46.54, 3.93980, 0.10800, 16.6650, 0
48.76, 3.93980, 0.12060, 16.3028, 0
50.57, 3.95180, 0.10650, 17.1950, 0
