   8924, 3, online, outlier
      70,    3.677,   0.1871, 0
      65,    3.677,   0.1737, 0
      60,    3.677,   0.1604, 0
      55,    3.636,   0.1437, 0
      50,    3.604,   0.1284, 0
      48,    3.582,   0.1218, 0
      46,    3.558,   0.1151, 0
      44,     3.53,   0.1084, 0
      42,    3.501,   0.1018, 0
      40,    3.466,  0.09503, 0
      38,    3.415,   0.0876, 0
      36,    3.358,  0.08027, 0
      34,    3.303,  0.07332, 0
      32,    3.247,  0.06672, 0
      30,    3.196,  0.06057, 0
      29,    3.173,  0.05772, 0
      28,    3.151,  0.05497, 0
      27,    3.131,  0.05233, 0
      26,    3.111,  0.04975, 0
      25,    3.086,  0.04708, 0
      50,    3.628,   0.1149, 0
      48,    3.559,   0.1062, 0
      46,    3.578,   0.1028, 0
      44,    3.594,  0.09922, 0
      42,    3.538,   0.0918, 0
      40,    3.439,  0.08263, 0
      38,    3.375,  0.07558, 0
      36,    3.329,  0.06966, 0
      34,    3.289,  0.06423, 0
      32,    3.232,  0.05837, 0
      30,     3.13,  0.05133, 0
      29,      3.1,  0.04868, 0
      28,    3.095,  0.04682, 0
      27,    3.107,   0.0455, 0
      26,    3.138,   0.0447, 0
      25,    3.152,  0.04337, 0
      95,    3.641,   0.2013, 0
      90,    3.695,   0.1964, 0
      85,    3.709,   0.1869, 0
      80,    3.687,   0.1739, 0
      75,    3.687,   0.1629, 0
      70,    3.693,   0.1526, 0
      65,    3.684,   0.1411, 0
      60,    3.679,   0.1298, 0
      55,    3.667,   0.1182, 0
      50,    3.609,   0.1041, 0
      48,    3.571,  0.09785, 0
      46,    3.537,  0.09201, 0
      44,    3.502,  0.08627, 0
      42,    3.473,  0.08099, 0
      40,    3.442,  0.07576, 0
      38,    3.401,  0.07029, 0
      36,    3.336,  0.06405, 0
      34,    3.247,  0.05731, 0
      32,    3.195,  0.05223, 0
      30,    3.152,  0.04764, 0
      29,    3.119,  0.04509, 0
      28,    3.081,  0.04249, 0
      27,    3.046,  0.04005, 0
      26,    3.021,  0.03792, 0
      25,    3.003,  0.03604, 0
      55,    3.318,    0.118, 0
      50,    3.288,   0.1053, 0
      48,    3.247,  0.09857, 0
      44,    3.297,  0.09313, 0
      42,    3.366,  0.09269, 0
      40,    3.414,  0.09082, 0
      38,    3.395,  0.08531, 0
      36,    3.349,  0.07862, 0
      34,    3.321,  0.07304, 0
      32,    3.259,  0.06622, 0
      30,    3.173,  0.05884, 0
      29,    3.141,  0.05571, 0
      28,    3.124,  0.05323, 0
      27,    3.121,  0.05124, 0
      26,    3.121,  0.04931, 0
      25,    3.116,  0.04728, 0
      95,    3.654,   0.2541, 0
      90,     3.56,   0.2285, 0
      85,    3.602,   0.2209, 0
      80,    3.674,   0.2164, 0
      75,    3.709,   0.2067, 0
      70,    3.693,   0.1913, 0
      65,    3.676,   0.1759, 0
      60,    3.669,   0.1619, 0
      55,    3.671,   0.1485, 0
      50,    3.595,   0.1295, 0
      48,    3.583,   0.1235, 0
      46,     3.55,   0.1161, 0
      44,    3.511,   0.1087, 0
      42,    3.459,   0.1006, 0
      40,    3.407,    0.093, 0
      38,    3.366,  0.08627, 0
      36,    3.366,  0.08171, 0
      32,    3.178,  0.06473, 0
      29,    3.076,  0.05496, 0
      28,    3.084,  0.05335, 0
      27,    3.011,  0.04904, 0
      26,    3.022,  0.04758, 0
      95,    3.713,   0.2503, 0
      90,    3.583,   0.2208, 0
      85,    3.658,   0.2174, 0
      80,    3.765,   0.2167, 0
      75,    3.733,   0.1997, 0
      70,    3.674,   0.1806, 0
      65,    3.718,   0.1718, 0
      60,    3.833,   0.1685, 0
      55,    3.797,   0.1515, 0
      50,    3.742,   0.1338, 0
      48,    3.688,   0.1248, 0
      46,    3.608,   0.1145, 0
      44,    3.555,   0.1063, 0
      42,    3.507,  0.09872, 0
      40,    3.468,  0.09195, 0
      38,    3.421,  0.08501, 0
      36,    3.379,  0.07857, 0
      34,    3.336,  0.07231, 0
      32,    3.254,  0.06476, 0
      30,    3.156,  0.05709, 0
      29,    3.126,  0.05417, 0
      28,    3.133,  0.05252, 0
      27,    3.146,  0.05107, 0
      26,    3.151,  0.04933, 0
      25,    3.134,  0.04694, 0
   100,  4.009, 0.3819, 0
    95,  3.864,  0.337, 0
    75,  3.738,  0.249, 0
    70,  3.885,  0.251, 0
    65,  3.817,  0.225, 0
    60,  3.753, 0.2008, 0
    55,  3.743,  0.183, 0
    50,  3.688, 0.1616, 0
    48,  3.674, 0.1539, 0
    46,  3.664, 0.1467, 0
    44,  3.655, 0.1397, 0
    42,  3.629, 0.1314, 0
    40,   3.59, 0.1225, 0
    38,  3.555, 0.1141, 0
    36,  3.519, 0.1059, 0
    34,  3.494, 0.09859, 0
    32,  3.462, 0.09111, 0
    30,  3.409, 0.08283, 0
    29,  3.371, 0.07828, 0
    28,  3.335, 0.07397, 0
    27,  3.317, 0.07058, 0
    26,  3.312, 0.06776, 0
    25,  3.319, 0.06541, 0
   100,  4.067, 0.3845, 0
    95,  4.017, 0.3564, 0
    90,  3.724, 0.2902, 0
    85,  3.486, 0.2402, 0
    80,   3.51, 0.2291, 0
    75,  3.776, 0.2485, 0
    70,  3.889, 0.2461, 0
    65,  3.847, 0.2236, 0
    60,  3.784, 0.1997, 0
    55,  3.752,   0.18, 0
    50,  3.703, 0.1593, 0
    48,  3.687, 0.1516, 0
    46,  3.675, 0.1444, 0
    44,  3.663, 0.1373, 0
    42,   3.64, 0.1294, 0
    40,   3.61, 0.1212, 0
    38,  3.586, 0.1136, 0
    36,  3.545, 0.1051, 0
    34,  3.494, 0.0965, 0
    32,  3.424, 0.08719, 0
    30,  3.354, 0.07847, 0
    29,  3.338, 0.07511, 0
    28,  3.329, 0.07214, 0
    27,  3.329, 0.06955, 0
    26,  3.327, 0.06688, 0
    25,  3.328, 0.06435, 0
   100,  3.908, 0.3205, 0
    95,  3.858, 0.2967, 0
    90,   3.76,  0.267, 0
    85,   3.58, 0.2286, 0
    80,  3.533, 0.2096, 0
    75,  3.694, 0.2148, 0
    70,  3.812, 0.2134, 0
    65,  3.785, 0.1954, 0
    60,  3.751, 0.1772, 0
    55,  3.782, 0.1651, 0
    50,  3.727, 0.1458, 0
    48,  3.672, 0.1358, 0
    46,  3.614, 0.1261, 0
    44,  3.569, 0.1176, 0
    42,  3.527, 0.1097, 0
    40,  3.493, 0.1024, 0
    38,   3.48, 0.09659, 0
    36,  3.477, 0.09133, 0
    34,  3.462, 0.08551, 0
    32,  3.417, 0.07841, 0
    30,  3.199, 0.06441, 0
    29,  3.197, 0.06222, 0
    28,  3.186, 0.05965, 0
    27,  3.165, 0.05677, 0
    26,   3.14, 0.05379, 0
    25,  3.114, 0.05087, 0
    95,   4.18, 0.4157, 0
    90,  4.166, 0.3912, 0
